text,label,source_file,disk_type,capacity,drive_count,ports,protocol,speed,form_factor,mode,cable_type,length,fiber,slots,interface,connector
AFF A90 Model,שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
AFF A90 HA System,שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
AFF A90 System Serial Attached,אחר,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP One Package,Encryption,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"AFF A90 HA System,-C",שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP9.17,Data at Rest Encrypt Capable",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Drive Pack 2X15.3TB,NVMe4,SED,-C",דיסק,tyvrym-1.xlsx,NVMe,15.3TB,2,,,,,,,,,,,
"SW,ONTAP One Package,Per TB,Flash,A90,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP,Per TB,Flash,Capacity,Pricing,A90",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,OTHER,OO,Per TB,Flash,Cap Pricing,A90",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"IO Module,2PT,100GbE,B,-C",כרטיסיה,tyvrym-1.xlsx,,,,2 ports,ETH,100G,,,,,,,,
"IO Module,4PT,FC,Target,w/SFP,-C",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,FC,,,,,,,,,
"QSFP28,100GbE,SR,-C",ג'יביק,tyvrym-1.xlsx,,,,,ETH,100G,QSFP28,MMF,,,,,,
"Cable,Cntlr-Switch OM4,MPO/MPO,5m,-C",כבל,tyvrym-1.xlsx,,,,,,,,,MPO-MPO,5m,OM4/MMF,,,
"Cable,100GbE,QSFP28-QSFP28,Cu,0.5m,-C",כבל,tyvrym-1.xlsx,,,,,,100G,,,QSFP-QSFP,0.5m,,,,
"Cable,LC-LC,OM4,5m,-C",כבל,tyvrym-1.xlsx,,,,,,,,,LC-LC,5m,OM4/MMF,,,
"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Jumper Crd,In-Cab,C13-C14,-C",כבל,tyvrym-1.xlsx,,,,,,,,,Power,,,,,
