label,
AFF A90 Model,שרת אחסון
AFF A90 HA System,שרת אחסון
AFF A90 System Serial Attached,אחר
"SW,ONTAP One Package,Encryption,-C",רישוי תוכנה
"AFF A90 HA System,-C",שרת אחסון
"SW,ONTAP9.17,Data at Rest Encrypt Capable",רישוי תוכנה
"Drive Pack 2X15.3TB,NVMe4,SED,-C",דיסק
"SW,ONTAP One Package,Per TB,Flash,A90,-C",רישוי נפח
"SW,ONTAP,Per TB,Flash,Capacity,Pricing,A90",רישוי נפח
"SW,OTHER,OO,Per TB,Flash,Cap Pricing,A90",רישוי נפח
"IO Module,2PT,100GbE,B,-C",כרטיסיה
"IO Module,4PT,FC,Target,w/SFP,-C",כרטיסיה
"QSFP28,100GbE,SR,-C",ג'יביק
"Cable,Cntlr-Switch OM4,MPO/MPO,5m,-C",כבל
"Cable,100GbE,QSFP28-QSFP28,Cu,0.5m,-C",כבל
"Cable,LC-LC,OM4,5m,-C",כבל
"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32,-C",אחר
"Jumper Crd,In-Cab,C13-C14,-C",כבל
"Blanking Panel,IO Module",אחר
"Power Supply,2000W Titanium,-C",ספק כח
Data at Rest Encryption Capable Operating Sys,רישוי תוכנה
"Software,ONTAP One",רישוי תוכנה
S3 SnapMirror SW,רישוי תוכנה
"Software,SnapMirror Cloud,ONTAP One",רישוי תוכנה
Snapmirror Cloud SW,רישוי תוכנה
Support,תמיכה
FAS90 Model,שרת אחסון
FAS90 HA System,שרת אחסון
FAS90 System Serial Attached,אחר
"FAS90 HA System,-C",שרת אחסון
"Flash Cache,4.0TB,NVMe SSD Module,Gen4,-C",זכרונות
"Disk Shelf,4U60,12G,Empty,DS460C,-C",מדף דיסקים
"Drive Pack,HDD,12G,10x22TB,DS460C,-C",דיסק
"SW,ONTAP One Package,Per TB,NLSAS,FAS90,-C",רישוי נפח
"SW,ONTAP,Per TB,NLSAS,Cap Pricing,FAS90",רישוי נפח
"SW,OTHER,OO,Per TB,NLSAS,Cap Pricing,FAS90",רישוי נפח
"IO Module,4PT,10/25GbE,-C",כרטיסיה
"IO Module,4-PT miniSAS,-C",כרטיסיה
"Cable,12Gb,Mini SAS HD,2m,-C",כבל
"SFP28,25GbE,SR,-C",ג'יביק
SW,רישוי תוכנה
"Storage Shelf,DS460C,Model,AD,-C",מדף דיסקים
"Disk Shelf,4U60,12G,Empty,AD,-C",מדף דיסקים
"Drive Pack,HDD,12G,10x22TB,DS460C,AD,-C",דיסק
"Storage Capacity,Per 0.1TB,Increments",רישוי נפח
"SW,ONTAP One Pkg,Per-0.1TB,NLSAS,AddOn,F03,-C",רישוי נפח
"SW,ONTAP,Per-0.1TB,NLSAS,Cap,Add-On,F03",רישוי נפח
"SW,OTHER,OO,Per-0.1TB,NLSAS,Cap,Add-On,F03",רישוי נפח
"Switch,NetApp,Cluster,SAN,Storage,24-Node",מתג
"Cluster Switch,N9336C 36Pt PTSX10/25/40/100G",מתג
"HW SUPP 9336,X190200/X190210,24X7X4OS",תמיכה
Cisco Switch Service Contract,תמיכה
"Entitlement,Cisco Switch NOW Site",תמיכה
"Jumper Crd,In-Cab,48-IN,C13-C14",כבל
"IO Module,4PT,FC,Target,w/SFP",כרטיסיה
"IO Module,4P,64Gb FC,Target-Init,w/32Gb SFP",כרטיסיה
"AFF A30,Model",שרת אחסון
AFF A30 HA System,שרת אחסון
AFF A30 System Serial Attached,אחר
"SW,ONTAP Base Package,Encryption,-C",רישוי תוכנה
"AFF A30 HA System,-C",שרת אחסון
"SW,ONTAP DSR,IPA,Data at Rest Encrypt Capable",רישוי תוכנה
"NVMe SHLF,2U24,Empty,NSM100B,-C",כרטיסיה
"SW,ONTAP Base Package,Per TB,Flash,A30,-C",רישוי נפח
"SW,ONTAP,Per TB,Flash,Cap Pricing,A30",רישוי נפח
"SW,OTHER,OB,Per TB,Flash,Cap Pricing,A30",רישוי נפח
"Cable,100GbE,QSFP28-QSFP28,Cu,2m,-C",כבל
"Rail,4-Post,Thin,Rnd/Sq-Hole,Sm,Adj,24-32,-C",אחר
"Power Supply,1600W,Titanium,-C",ספק כח
"IO Module,4-PT miniSAS",כרטיסיה
"SW,StorageGRID Webscale Software,Upgr",רישוי תוכנה
"SW,StorageGRID,Webscale,Incremental",רישוי תוכנה
PowerScale F710,שרת אחסון
Informational Purposes Only,אחר
"F710 2.5"" HDD Drive Carrier",אחר
154TB (15.36TB x 10) QLC ISE NVMe SSD,דיסק
PowerScale F710 SDPM,זכרונות
FE 2x100GbE w/o Optics - F710,כרטיסיה
BE 2x100GbE w/o Optics - F710,כרטיסיה
F710 SPM1,אחר
2.6 GHz Processor x2,מעבד
512GB 5600 MT/s DIMM Memory,זכרונות
PowerScale F710 Memory Components,זכרונות
PowerScale F710 Bezel,אחר
Rack Rails with CMA (A16),אחר
Dual PSU 1400W RDNT,ספק כח
C13/C14 US (2M) x2,כבל
Secure Component Validation License,רישוי תוכנה
CSV TRIG License,רישוי תוכנה
Secure Enterprise Key Management License,רישוי תוכנה
"IDRAC, 16G, Enterprise License",רישוי תוכנה
F710 Node Hardware,אחר
F710 Node Hardware Cont,אחר
Production Factory Install - F710,אחר
Trusted Module Platform,אחר
IDRAC Random Password,אחר
PowerScale F710 Shipping,אחר
Info F710 ISG Product,אחר
Parts Only Warranty 36 Months,תמיכה
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",תמיכה
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",תמיכה
"Keep Your Component For Enterprise, 60 Month(s)",תמיכה
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",תמיכה
PowerScale Virtual Base - VP,שרת אחסון
SmartQuotas Base License Bundle=ID,רישוי תוכנה
Enterprise Advanced Bundle F710=ID,רישוי תוכנה
SnapShotIQ Base License Bundle=ID,רישוי תוכנה
SmartConnect Base License Bundle=ID,רישוי תוכנה
SyncIQ Base License Bundle=ID,רישוי תוכנה
SmartPools Base License Bundle=ID,רישוי תוכנה
SmartPools Capacity License Bundle=CB,רישוי נפח
SmartConnect Capacity License Bundle=CB,רישוי נפח
Enterprise Advanced Bundle Capacity F710=CB,רישוי נפח
SnapShotIQ Capacity License Bundle=CB,רישוי נפח
SmartQuotas Capacity License Bundle=CB,רישוי נפח
SyncIQ Capacity License Bundle=CB,רישוי נפח
SmartDedupe Base License F710=ID,רישוי תוכנה
SmartDedupe Capacity License F710=CB,רישוי נפח
HDFS for OneFS ($0.00),רישוי תוכנה
"ProSupport Plus Additional Software Support-Maintenance, 60 Month(s)",תמיכה
OneFS Base License F710 154-614TB=ID,רישוי תוכנה
OneFS Capacity License F710=CB,רישוי נפח
"ProSupport Plus OneFS All-Flash Software Support-Maintenance, 60 Month(s)",תמיכה
PowerScale Accessories Base,אחר
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 3 Meter",כבל
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 5 Meter",כבל
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 10 Meter",כבל
"Node Side, Dell EMC PowerEdge 100GbE QSFP28 SR4  85C Optic",ג'יביק
"Switch Side, Transceiver, 100GbE QSFP28 SR4, No FEC Capable, MPO, MMF",ג'יביק
PowerScale A3100,שרת אחסון
A3100 L3 ISE Node,שרת אחסון
ISE 400TB (20x20TB),דיסק
ISE 800GB SSD - A310/0,דיסק
2x25GbE (SFP28) W/O OPTICS,כרטיסיה
2x25GbE (SFP28) Back-end W/O OPTICS,כרטיסיה
Transceivers/Optic/SFP+/SR/10GbE/2 GEN6,ג'יביק
Transceiver/Optic/SFP28/SR/25Gbe/Qty 2,ג'יביק
